course_name,instructor,course_description,avg_rating,reviews_count,course_hours,lectures_count,level,price_after_discount,main_price,Bestseller,student_count,
Flutter & Dart - The Complete Guide [2023 Edition],"Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller",A Complete Guide to the Flutter SDK & Flutter Framework for building native iOS and Android apps,4.6,54299,42.5,378,All,320,1600,Yes,216495,
Beginning C++ Programming - From Beginner to Beyond,"Tim Buchalka's Learn Programming Academy, Dr. Frank Mitropoulos",Obtain Modern C++ Object-Oriented Programming (OOP) and STL skills. C++14 and C++17 covered.  C++20 info see below.,4.6,53453,46,305,All,350,850,Yes,223168,
Docker and Kubernetes: The Complete Guide,Stephen Grider,"Build, test, and deploy Docker applications with Kubernetes while learning production-style development workflows",4.7,51210,22,321,All,270,720,No,264566,
R Programming A-Z™: R For Data Science With Real Exercises!,"Kirill Eremenko, Ligency I Team, Ligency Team","Learn Programming In R And R Studio. Data Analytics, Data Science, Statistical Analysis, Packages, Functions, GGPlot2",4.6,48259,10.5,79,All,270,1400,Yes,242563,
JavaScript: Understanding the Weird Parts,Anthony Alicea,"An advanced JavaScript course for everyone! Scope, closures, prototypes, 'this', build your own framework, and more.",4.8,45752,12,89,All,350,1300,No,180386,
The Complete 2021 Flutter Development Bootcamp with Dart,Dr. Angela Yu,Officially created in collaboration with the Google Flutter team.,4.6,45652,29,217,All,350,1600,No,156400,
Python and Django Full Stack Web Developer Bootcamp,Jose Portilla,"Learn to build websites with HTML , CSS , Bootstrap , Javascript , jQuery , Python 3 , and Django!",4.5,45321,32,198,All,320,1700,Yes,186915,
The Python Bible™ | Everything You Need to Program in Python,"Ziyad Yehia, Internet of Things Academy",Build 11 Projects and go from Beginner to Pro in Python with the World's Most Fun Project-Based Python Course!,4.6,43753,9,74,Beginner,320,1600,No,146452,
Complete Python Developer in 2023: Zero to Mastery,"Andrei Neagoie, Zero To Mastery","How to become a Python 3 Developer and get hired! Build 12+ projects, learn Web Development, Machine Learning + more!",4.7,41990,31,336,All,320,1600,No,173662,
The Complete React Native + Hooks Course,Stephen Grider,"Understand React Native with Hooks, Context, and React Navigation.",4.5,41965,38.5,434,All,320,680,No,175131,
Deep Learning A-Z™: Hands-On Artificial Neural Networks,"Kirill Eremenko, Hadelin de Ponteves, Ligency I Team, Ligency Team",Learn to create Deep Learning Algorithms in Python from two Machine Learning & Data Science experts. Templates included.,4.5,41377,22.5,169,All,320,1700,Yes,342743,
Master Microservices with Spring Boot and Spring Cloud,in28Minutes Official,"Java Spring Boot Microservices 5-in-1 - Spring Boot, Spring Cloud, Docker, Kubernetes and REST API (REST Web Services)",4.5,40315,22,260,All,320,1600,Yes,194027,
SQL for Beginners: Learn SQL using MySQL and Database Design,"Tim Buchalka's Learn Programming Academy, Jon Avis - SQL Instructor",Understand SQL using the MySQL database. Learn Database Design and Data Analysis with Normalization and Relationships,4.5,39214,8,122,Beginner,270,720,No,126771,
The Complete Oracle SQL Certification Course,Imtiaz Ahmad,"Don't Just Learn the SQL Language, Become Job-Ready and Launch Your Career as a Certified Oracle SQL Developer!",4.6,38496,16.5,71,All,270,1300,Yes,146829,
"Advanced CSS and Sass: Flexbox, Grid, Animations and More!",Jonas Schmedtmann,"The most advanced and modern CSS course on the internet: master flexbox, CSS Grid, responsive design, and so much more.",4.8,38349,28,126,Intermediate,270,1400,Yes,178600,
"NodeJS - The Complete Guide (MVC, REST APIs, GraphQL, Deno)","Academind by Maximilian Schwarzmüller, Maximilian Schwarzmüller","Master Node JS & Deno.js, build REST APIs with Node.js, GraphQL APIs, add Authentication, use MongoDB, SQL & much more!",4.7,36673,40.5,543,All,270,1400,Yes,187789,
Understanding TypeScript - 2023 Edition,Maximilian Schwarzmüller,"Boost your JavaScript projects with TypeScript: Learn all about core types, generics, TypeScript + React or Node & more!",4.7,36452,15,198,All,320,1400,Yes,175152,
Complete C# Unity Game Developer 3D,"Ben Tristem, Rick Davidson, GameDev.tv Team, Gary Pettie","Design & Develop Video Games. Learn C# in Unity Engine. Code Your first 3D Unity games for web, Mac & PC.",4.7,36449,30.5,204,All,320,1600,Yes,191638,
Apache Kafka Series - Learn Apache Kafka for Beginners v3,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer, Conduktor Kafkademy","START HERE: Learn Apache Kafka 3.0 Ecosystem, Core Concepts, Real World Java Producers/Consumers & Big Data Architecture",4.7,34780,8.5,120,All,320,850,Yes,167768,
Statistics for Data Science and Business Analysis,"365 Careers, 365 Careers Team","Statistics you need in the office: Descriptive & Inferential statistics, Hypothesis testing, Regression analysis",4.6,34392,5,92,All,270,850,Yes,157184,
